Codigo_ruta;Tipo Dia;H_ Inicio Operaci?_1;H_ Fin  Operaci?_1
3 Plaza de la Democracia;Festivo;5:30:00;22:35:00
2 P. 20 de Julio;Habil;4:30:00;23:00:00
2 P. 20 de Julio;Sabado;5:00:00;23:00:00
2 P. 20 de Julio;Festivo;5:30:00;22:00:00
2 Museo Nacional;Habil;4:30:00;23:00:00
2 Museo Nacional;Sabado;5:00:00;23:00:00
2 Museo Nacional;Festivo;5:30:00;22:00:00
1 P. Eldorado;Habil;4:30:00;23:00:00
1 P. Eldorado;Sabado;5:00:00;23:00:00
1 P. Eldorado;Festivo;5:30:00;22:00:00
1 Universidades;Habil;4:30:00;23:00:00
1 Universidades;Sabado;5:00:00;23:00:00
1 Universidades;Festivo;5:30:00;22:00:00
G45 PORTAL SUR;Habil;5:00:00;8:00:00
G45 PORTAL SUR;Sabado;5:00:00;8:00:00
G45 SAN MATEO;Habil;5:00:00;8:00:00
G45 SAN MATEO;Sabado;5:00:00;8:00:00
G47 P. SUR;Habil;4:30:00;23:00:00
G47 P. SUR;Sabado;5:00:00;23:00:00
G47 P. SUR;Festivo;5:30:00;22:00:00
M47 M. NACIONAL;Habil;4:30:00;23:00:00
M47 M. NACIONAL;Sabado;4:30:00;23:00:00
M47 M. NACIONAL;Festivo;5:00:00;22:00:00
F23 Americas;Habil;5:00:00;23:00:00
F23 Americas;Sabado;5:00:00;23:00:00
J23 Aguas;Habil;4:00:00;23:00:00
J23 Aguas;Sabado;4:30:00;23:00:00
16_6;Habil;4:30:00;0:20:00
16_6;Sabado;5:00:00;0:20:00
16_6;Festivo;5:30:00;23:20:00
8_6;Habil;4:00:00;0:30:00
8_6;Sabado;4:30:00;0:30:00
8_6;Festivo;5:00:00;23:30:00
M51 MUSEO NACIONAL;Habil;4:30:00;23:00:00
M51 MUSEO NACIONAL;Sabado;4:30:00;23:00:00
B71 P.NORTE;Habil;5:30:00;8:30:00
B71 P.NORTE;Sabado;5:30:00;9:00:00
3_8;Habil;4:00:00;0:30:00
3_8;Sabado;5:00:00;0:30:00
3_8;Festivo;5:30:00;23:30:00
